,Review,date,Location,Translated,Address,Country,room_review,hotel_review,amenities_review,price_review,washroom_review,food_review,staff_review,Sentiment
0,I was very impressed with the resort Great staff at the main resort pool bar We had a blast with them Clean professional staff great location and very reasonable,2019-08-20,Sebastian,I was very impressed with the resort Great staff at the main resort pool bar We had a blast with them Clean professional staff great location and very reasonable,"Sebastian County, Arkansas, United States",United States,0,1,1,0,0,0,1,POSITIVE
1,The rooms were nice the outside needs work also no free breakfast it would have been nice overall it was ok,2019-08-20,The Angels,The rooms were nice the outside needs work also no free breakfast it would have been nice overall it was ok,"Angels, Spanish Town, Saint Catherine, Middlesex County, Jamaica",Jamaica,1,0,0,0,0,1,0,NEGATIVE
2,Great location I have stayed at this hotel on my last three trips to New York,2019-08-20,Georgia,Great location I have stayed at this hotel on my last three trips to New York,"Georgia, United States",United States,1,1,0,0,0,0,0,POSITIVE
3,The hotel was adequate for my stay The strips in the bathtub were useless as I fell while taking a shower I asked the front desk staff several times to get a bath mat but they never did Management was unresponsive to my request which was very poor someone should have gone to a dollar store and gotten a bath mat Breakfast was good but it would have been nice to have had yogurt andor cottage cheese on the buffet,2019-08-20,,The hotel was adequate for my stay The strips in the bathtub were useless as I fell while taking a shower I asked the front desk staff several times to get a bath mat but they never did Management was unresponsive to my request which was very poor someone should have gone to a dollar store and gotten a bath mat Breakfast was good but it would have been nice to have had yogurt andor cottage cheese on the buffet,None,None,1,1,0,1,1,0,1,NEGATIVE
4,Great location room was large and spacious Parking was easy and we appreciated the friendly staff,2019-08-19,Palm Harbor,Great location room was large and spacious Parking was easy and we appreciated the friendly staff,"Palm Harbor, Tarpon Springs, Pinellas County, Florida, United States",United States,1,1,0,0,0,0,1,POSITIVE
5,All the options for fun were great Do wish there were a better policy on the lazy river floats Lots of people Hoarding them,2019-08-19,,All the options for fun were great Do wish there were a better policy on the lazy river floats Lots of people Hoarding them,None,None,0,0,0,0,0,0,0,POSITIVE
6,Old Musty MotelBath need an update asap ,2019-08-19,,Old Musty MotelBath need an update asap ,None,None,0,0,0,0,0,0,0,POSITIVE
7,Loved the layout of the hotel and the relaxing pool area Only con was housekeepingmaintenance staff passing the room with carts and speaking loudly on radios at 7730 am,2019-08-19,,Loved the layout of the hotel and the relaxing pool area Only con was housekeepingmaintenance staff passing the room with carts and speaking loudly on radios at 7730 am,None,None,1,1,0,0,0,0,1,POSITIVE
8,My wife and I loved everything about it It’s close to everything and everywhereWe will be recommending to others and we will definitely be back,2019-08-19,,My wife and I loved everything about it It’s close to everything and everywhereWe will be recommending to others and we will definitely be back,None,None,0,0,0,0,0,0,0,POSITIVE
9,rooms were very small was told i had a complimentary upgrade to a empire state building view room but it was a regular room everything else was ok,2019-08-19,,rooms were very small was told i had a complimentary upgrade to a empire state building view room but it was a regular room everything else was ok,None,None,1,1,0,0,0,0,0,POSITIVE
10,Very clean and friendly and I love the location The restaurant that is inside was excellent for food and service the bathrooms are a little small because they’re vintage but overall I would definitely stay again,2019-08-19,California,Very clean and friendly and I love the location The restaurant that is inside was excellent for food and service the bathrooms are a little small because they’re vintage but overall I would definitely stay again,"California, United States",United States,1,1,0,0,1,1,1,POSITIVE
11,Nice and comfortable good position near the station and the subway,2019-08-19,,Nice and comfortable good position near the station and the subway,None,None,0,0,0,0,0,0,0,POSITIVE
12,Location was great lobby area was nice but room needs to be upgraded,2019-08-19,,Location was great lobby area was nice but room needs to be upgraded,None,None,1,1,0,0,0,1,0,POSITIVE
13,Quiet and at a great locationGood control at entrance to elevators,2019-08-19,,Quiet and at a great locationGood control at entrance to elevators,None,None,0,1,0,0,0,0,0,POSITIVE
14,El servicio super amables no todos en el buffet todos supur amablea creo que ellos marcan la diferencia hacen que tu mal momento en el lobby se olvide,2019-08-19,,"The service is super friendly, not everyone at the buffet, everyone supur friendly, I think they make a difference, they make your bad moment in the lobby forget",None,None,0,1,0,0,0,1,1,POSITIVE
15,Very nice and quiet and clean roomsWe will return when back in the area,2019-08-19,Redding,Very nice and quiet and clean roomsWe will return when back in the area,"Redding, Shasta County, California, United States",United States,1,1,0,0,0,0,0,POSITIVE
16,Rooms were clean updated and beds were comfortable,2019-08-19,,Rooms were clean updated and beds were comfortable,None,None,1,0,0,0,0,0,0,POSITIVE
17,The staff was exceptionally helpful and the property wasclose to dining and shopping ad well as Dineyland We had a bery restful stay there abd look forward to staying there in the future,2019-08-19,,The staff was exceptionally helpful and the property wasclose to dining and shopping ad well as Dineyland We had a bery restful stay there abd look forward to staying there in the future,None,None,1,1,0,0,0,0,1,POSITIVE
18,It was great for what we needed a place to sleep Parking was 20 a day which isn’t too bad for that area We were on the floor that the pool was located on so there was a constant flow of loud people storming down the hallway Poorly set up since that is the only way to the pool They probably put us there since we used a third party booking site,2019-08-19,,It was great for what we needed a place to sleep Parking was 20 a day which isn’t too bad for that area We were on the floor that the pool was located on so there was a constant flow of loud people storming down the hallway Poorly set up since that is the only way to the pool They probably put us there since we used a third party booking site,None,None,0,1,0,0,0,0,0,NEGATIVE
19,rooms were clean we had two room and were able to get it right across from each other Location was very close to john wayne airport and only 12 mile from Disneyland we were there in 15 mins in a car ride shuttle servise to nearby restaurants were available and convenient also to the airport,2019-08-19,,rooms were clean we had two room and were able to get it right across from each other Location was very close to john wayne airport and only 12 mile from Disneyland we were there in 15 mins in a car ride shuttle servise to nearby restaurants were available and convenient also to the airport,None,None,1,0,0,0,0,1,0,POSITIVE
20,A little off the beaten path but ultimately places you at a reasonably central location Buena Vista Everything clean and functional covered parking garage with access Roomy good beds friendly staff tho didnt have time to sample amenities nor did we have any special requests or concerns,2019-08-18,,A little off the beaten path but ultimately places you at a reasonably central location Buena Vista Everything clean and functional covered parking garage with access Roomy good beds friendly staff tho didnt have time to sample amenities nor did we have any special requests or concerns,None,None,1,1,1,0,0,0,1,POSITIVE
21,The room is tiny The building is old and worn on inside Needs updating The walls are thin The bathroom needs updating Flooring is worn and ripping Staff wasn’t the friendliest Plan on walking 25 minutes to time square Security was the only good thing with this hotel Be prepared they add on fees if you purchase through Expedia They call it resort fees Why I have no idea It’s not a resort,2019-08-18,,The room is tiny The building is old and worn on inside Needs updating The walls are thin The bathroom needs updating Flooring is worn and ripping Staff wasn’t the friendliest Plan on walking 25 minutes to time square Security was the only good thing with this hotel Be prepared they add on fees if you purchase through Expedia They call it resort fees Why I have no idea It’s not a resort,None,None,1,1,0,1,1,0,0,NEGATIVE
22,Awesome location easy access to sights and subway,2019-08-18,,Awesome location easy access to sights and subway,None,None,0,1,0,0,0,0,0,POSITIVE
23,基本的に問題なしでした。 清潔で防音も普通な方で、水回りも清潔でシャワーの水圧も問題なしです。 ただ、歯ブラシやスリッパ、バスローブなどはありません。 シャンプー、石鹸、ズボンプレッサー、冷蔵庫などはありました。,2019-08-18,,"There was basically no problem. It is clean and soundproof, and the water area is clean and there is no problem with the water pressure in the shower. However, there are no toothbrushes, slippers, bathrobes, etc. There was shampoo, soap, trouser press, refrigerator and so on.",None,None,1,1,0,0,1,0,0,POSITIVE
24,The room did not seem clean There was some sort of orange sticky glop on the bathroom counter And the travel size lotion they provided was already empty I liked that you could text the valet and they had your car waiting,2019-08-18,Jacksonville,The room did not seem clean There was some sort of orange sticky glop on the bathroom counter And the travel size lotion they provided was already empty I liked that you could text the valet and they had your car waiting,"Jacksonville, Duval County, Florida, United States",United States,1,0,0,0,1,0,0,NEGATIVE
25,Great location and friendly staff Room with enough space,2019-08-18,,Great location and friendly staff Room with enough space,None,None,0,1,0,0,0,0,1,POSITIVE
26,Real nice love to go back soonI will recommend family and friends,2019-08-17,,Real nice love to go back soonI will recommend family and friends,None,None,0,0,0,0,0,0,0,POSITIVE
27,Beautiful hotel Friendly helpful staff Walking distance to light rail Uneasy about homeless encampment in the empty lot behind the hotel on the way to the light rail,2019-08-17,,Beautiful hotel Friendly helpful staff Walking distance to light rail Uneasy about homeless encampment in the empty lot behind the hotel on the way to the light rail,None,None,0,1,0,0,0,0,1,POSITIVE
28,Beautiful Art Deco building Foyer is very ornate and stylish,2019-08-17,,Beautiful Art Deco building Foyer is very ornate and stylish,None,None,0,1,0,0,0,0,0,POSITIVE
29,En general excelente Fantástica situación Dos pegas importantes para mí 25 dolares por guardar mis maletas 3 horas en la salida No habia nevera ni calentador de agua en la habitación los solicite y me ofrecieron ponerlos con cargo,2019-08-17,Spain,In general excellent Fantastic situation Two important drawbacks for me 25 dollars for storing my suitcases 3 hours at the exit There was no refrigerator or water heater in the room I requested them and they offered me to put them with charge,España,None,1,0,0,1,0,0,0,NEGATIVE
30,Really close to job interview Nice morning breakfast at location across the street that has some affiliation with the hotel Nice guests,2019-08-17,,Really close to job interview Nice morning breakfast at location across the street that has some affiliation with the hotel Nice guests,None,None,0,1,0,0,0,1,0,POSITIVE
31,Les chambres familiales sont pratiques nous étions 7 et cest agréable dêtre tous ensemble Cependant le personnel est exécrableLindividu à l’accueil sest permis de dire à mon mari quil était trop lent lors de lenregistrementcest inacceptableDe plus la climatisation est extrêmement bruyante plusieurs dentre nous ont eu beaucoup de difficulté à dormir,2019-08-17,Montreal,The family rooms are practical there were 7 of us and it is nice to be all together However the staff is execrable The person at the reception allowed himself to tell my husband that he was too slow when checking in is unacceptable In addition the air conditioning is extremely noisy several of us had a lot difficulty sleeping,"Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada",Canada,1,1,0,0,0,0,1,NEGATIVE
32,Rooms very dirty and aged Breakfast was of poor quality and limited choices,2019-08-17,,Rooms very dirty and aged Breakfast was of poor quality and limited choices,None,None,0,0,0,0,0,0,0,NEGATIVE
33,I have stayed for 5 nights Great service affordable price,2019-08-17,,I have stayed for 5 nights Great service affordable price,None,None,1,0,0,0,0,0,1,POSITIVE
34,The staff is excellent here This is always my first choice when I look to stay in Orlando Have stayed here every year for the past 8 years It is perfectly situated on International Dr The grounds are beautiful and I always feel safe I would rate this property 10 out of 10 Jennifer on the front desk was very friendly and helpfulI will be back next year,2019-08-17,,The staff is excellent here This is always my first choice when I look to stay in Orlando Have stayed here every year for the past 8 years It is perfectly situated on International Dr The grounds are beautiful and I always feel safe I would rate this property 10 out of 10 Jennifer on the front desk was very friendly and helpfulI will be back next year,None,None,1,1,0,1,0,0,1,POSITIVE
35,It was fine Sink needed to be wiped down Stains on comforter,2019-08-16,,It was fine Sink needed to be wiped down Stains on comforter,None,None,0,0,0,0,0,0,0,NEGATIVE
36,Was a great place the room had ants but that comes with outside doors lobby service was great though,2019-08-16,,Was a great place the room had ants but that comes with outside doors lobby service was great though,None,None,1,1,0,0,0,1,1,POSITIVE
37,Enjoyed our stay Staff was welcoming and friendly Chose this location for a weekend with my friends When booking this room I requested a rollaway bed When I called the front desk about the extra bed I requested it was explained to me since we have two beds they could not accommodate us with a rollaway Why give that an option during booking but not available during the stay Overall it was a nice experience ,2019-08-16,The fifth,Enjoyed our stay Staff was welcoming and friendly Chose this location for a weekend with my friends When booking this room I requested a rollaway bed When I called the front desk about the extra bed I requested it was explained to me since we have two beds they could not accommodate us with a rollaway Why give that an option during booking but not available during the stay Overall it was a nice experience ,"الخامسه, أسيوط, 71515, مصر",None,1,1,0,0,0,0,1,NEGATIVE
38,Well kept up but where was my complimentary breakfast ,2019-08-15,Seattle,Well kept up but where was my complimentary breakfast ,"Seattle, King County, Washington, United States",United States,0,0,0,0,0,1,0,POSITIVE
39,Location was around the transportation system near main attraction within the city Good friendly staff Will visit againclean rooms,2019-08-15,,Location was around the transportation system near main attraction within the city Good friendly staff Will visit againclean rooms,None,None,1,1,0,0,0,0,1,POSITIVE
40,propreté impeccable chambre refaite tous les jours,2019-08-15,savasse France,impeccable cleanliness room redone every day,"Savasse, Nyons, Drôme, Auvergne-Rhône-Alpes, France métropolitaine, 26740, France",France,1,0,0,0,0,0,0,POSITIVE
41,Good value We enjoyed our 4 day stay Bicely appointed room,2019-08-15,,Good value We enjoyed our 4 day stay Bicely appointed room,None,None,1,0,0,0,0,0,0,POSITIVE
42,The rooms was clean and i love they make breakfast sandwiches 2 for 600,2019-08-15,,The rooms was clean and i love they make breakfast sandwiches 2 for 600,None,None,1,0,0,0,0,1,0,POSITIVE
43,Sent my parents on an anniversary trip They wanted to stay local but wanted to get away from the heat in Riverside so they stayed here for two days They said the property was secluded clean and they felt safe in this area The hotel itself was clean comfortable and they had a nice view The staff were friendly and found their reservation with no issues ONLY downside is that they had to pay $20 per day for parking The parking was private and they didnt worry about their car being broken into so that was a plus but it was an extra cost we didnt expect Great location for site seeing,2019-08-15,Riverside,Sent my parents on an anniversary trip They wanted to stay local but wanted to get away from the heat in Riverside so they stayed here for two days They said the property was secluded clean and they felt safe in this area The hotel itself was clean comfortable and they had a nice view The staff were friendly and found their reservation with no issues ONLY downside is that they had to pay $20 per day for parking The parking was private and they didnt worry about their car being broken into so that was a plus but it was an extra cost we didnt expect Great location for site seeing,"Riverside, Riverside County, California, United States",United States,1,1,1,1,0,0,1,NEGATIVE
44,Beautiful Clean Friendly staff Variety of activities for adultschildren Would definitely choose to stay here again,2019-08-14,"Champaign, IL",Beautiful Clean Friendly staff Variety of activities for adultschildren Would definitely choose to stay here again,"Champaign, Champaign County, Illinois, United States",United States,1,1,0,0,0,0,1,POSITIVE
45,This property is advertised as being renovated Only four floors are renovated and a renovation means basically new bedding There were stains on the ceiling a leaking shower toilet that didnt work peeling paint and an unpleasant manager when we asked to change our room He seemed to think a nonworking toilet wasnt an issue I would not recommend nor ever stay in this property again It was very disappointing,2019-08-14,Pennsylvania,This property is advertised as being renovated Only four floors are renovated and a renovation means basically new bedding There were stains on the ceiling a leaking shower toilet that didnt work peeling paint and an unpleasant manager when we asked to change our room He seemed to think a nonworking toilet wasnt an issue I would not recommend nor ever stay in this property again It was very disappointing,"Pennsylvania, United States",United States,1,1,0,0,1,0,1,NEGATIVE
46,Vétuste mérite un sacré rafraîchissementEmplacement idéal,2019-08-14,Toulon,Dilapidated deserves a refreshing Ideal location,"Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, France",France,0,1,0,0,0,0,0,POSITIVE
47,Loved the price location to the parks and the shuttle,2019-08-14,,Loved the price location to the parks and the shuttle,None,None,0,1,1,0,0,0,0,POSITIVE
48,El aire acondicionado goteaba y la alfombra estaba empapada y con humedad,2019-08-14,,The air conditioner was leaking and the carpet was soaked and damp,None,None,0,0,0,0,0,0,0,NEGATIVE
49,L’unica cosa accettabile è stata la cortesia ricevuta al check out Tutto il resto da cancellare Camera vecchia male insonorizzata mobili vecchi e maltenuti illuminazione fatta malissimo e nonostante tutto abbiamo faticato a farcela assegnare La prima camera che abbiamo ricevuto è al piano della strada con i parcheggi a 50 metri questa camera è maleodorante di con mobili vecchi e scrostati Guardate attentamente le condizioni perché compaiono 25$giorno per i servizi che dicono di offrire come ad esempio la navetta per i parchi ma non è così Le navette non servono i parchi degli Universal Studios e non servono l’aeroporto quindi l’unico modo per spostarsi è il taxi peraltro abbastanza costoso Una mattina si sono inventati un aumento di $ 11tasse e mancia al 18 a persona a perché ospitavano alcuni osceni personaggi DisneyEravamo stati in questo hotel 18 anni fa ora non ci mai più,2019-08-14,Lake Buena Vista - Orlando,The only acceptable thing was the courtesy received at check-out All the rest to be canceled Old room badly soundproofed old furniture and in bad condition lighting done very badly and despite everything we struggled to get it assigned The first room we received is on the street level with the parking at 50 meters this room is smelly with old and scuffed furniture Look carefully at the conditions because they appear 25 $ a day for the services they say they offer such as the shuttle to the parks but it is not so The shuttles do not serve the Universal parks Studios and they do not serve the airport so the only way to get around is the taxi which is quite expensive One morning they invented an increase of $ 11 tax and tip at 18 per person because they were hosting some obscene Disney characters We had stayed in this hotel 18 years ago now never again,"Buena Vista Point Apartment Homes, Orlando, Orange County, Florida, United States",United States,1,1,1,0,0,1,1,NEGATIVE
